92-U-234(n,total fission) ENDF/B-VII.1
151.554,0.00917621
151.582,0.0115527
151.606,0.0142193
151.632,0.0179345
151.659,0.0232895
151.687,0.0304221
151.714,0.0397814
151.744,0.05314
151.776,0.0712616
151.809,0.0958009
151.846,0.130155
151.892,0.183361
151.976,0.300106
152.054,0.405289
152.107,0.454288
152.16,0.471348
152.215,0.45254
152.27,0.400931
152.369,0.264386
152.437,0.17161
152.482,0.122494
152.519,0.0890941
152.552,0.0662339
152.583,0.0498467
152.609,0.0384889
152.637,0.0294413
152.664,0.0225551
152.692,0.0173886
152.717,0.0138054
152.746,0.0107967
152.775,0.00862361
152.803,0.00705089
152.832,0.0059033
152.865,0.00495075
152.908,0.00407804
152.952,0.00346916
153.013,0.00286002
153.093,0.00232328
153.189,0.00187705
153.296,0.00152894
153.411,0.00126113
153.546,0.00103672
153.702,8.50971E-4
153.894,6.91381E-4
154.119,5.62919E-4
154.35,4.71468E-4
154.618,3.96359E-4
154.92,3.37328E-4
155.343,2.81773E-4
155.779,2.44581E-4
156.362,2.12032E-4
157.14,1.86636E-4
157.918,1.72858E-4
159.183,1.63769E-4
159.669,1.62848E-4
161.031,1.67003E-4
162.388,1.78728E-4
164.416,2.11165E-4
165.575,2.40172E-4
166.661,2.77524E-4
167.965,3.41008E-4
168.834,4.02678E-4
169.703,4.88764E-4
170.453,5.93699E-4
171.164,7.34136E-4
171.709,8.87583E-4
172.224,0.00109114
172.665,0.001338
173.058,0.00164704
173.385,0.00200814
173.671,0.00244546
173.916,0.00295875
174.157,0.00365862
174.357,0.00447062
174.537,0.00547966
174.709,0.00683196
174.856,0.00847352
174.987,0.010539
175.098,0.0130306
175.187,0.0158087
175.26,0.0189807
175.33,0.0232588
175.383,0.0278352
175.426,0.0331961
175.466,0.0401003
175.502,0.0487678
175.537,0.0608987
175.568,0.0752005
175.599,0.0944346
175.631,0.121984
175.662,0.157545
175.694,0.204362
175.728,0.272677
175.764,0.363885
175.804,0.49638
175.847,0.674349
175.9,0.953808
176.054,1.87709
176.12,2.14884
176.18,2.23769
176.234,2.16549
176.298,1.9166
176.397,1.32713
176.478,0.848746
176.527,0.61462
176.566,0.460429
176.604,0.341842
176.637,0.261055
176.67,0.198374
176.703,0.15077
176.736,0.115638
176.769,0.0896964
176.801,0.0707136
176.834,0.0568734
176.87,0.0459584
176.911,0.0371973
176.956,0.0304131
177.01,0.0250474
177.071,0.0207756
177.145,0.0171874
177.23,0.0142176
177.341,0.0115274
177.469,0.00935148
177.61,0.00769241
177.782,0.0063001
177.978,0.00523002
178.174,0.00450936
178.42,0.00392379
178.665,0.00357281
178.996,0.00335792
179.107,0.00334101
179.47,0.00346288
179.832,0.00387529
180.074,0.0043577
180.33,0.00513293
