28-Ni-58(n,elastic) ENDF/B-VII.1
129979.0,19.0408
129983.0,18.4195
129987.0,16.4813
129998.0,8.57484
130002.0,6.34987
130005.0,4.92524
130008.0,3.94558
130011.0,3.24061
130014.0,2.73195
130017.0,2.36205
130022.0,2.03521
130026.0,1.82252
130033.0,1.60162
130042.0,1.44571
130054.0,1.32314
130071.0,1.21867
130101.0,1.13143
130159.0,1.05493
130327.0,0.956751
131187.0,0.634642
131525.0,0.520448
131549.0,0.53279
131577.0,0.504355
132199.0,0.30869
132649.0,0.185654
132787.0,0.153671
132799.0,0.152901
132806.0,0.156961
132810.0,0.166671
132814.0,0.185312
132816.0,0.212506
132819.0,0.248743
132821.0,0.297226
132823.0,0.37131
132826.0,0.486374
132831.0,0.701074
132836.0,0.981993
132839.0,1.11902
132843.0,1.16993
132843.0,1.17003
132846.0,1.12571
132850.0,0.977299
132859.0,0.529259
132862.0,0.407045
132864.0,0.312714
132867.0,0.255813
132869.0,0.21096
132871.0,0.185395
132874.0,0.165089
132876.0,0.152595
132880.0,0.143243
132887.0,0.135596
132915.0,0.125215
133069.0,0.0919252
133231.0,0.062585
133350.0,0.0448816
133423.0,0.0365094
133472.0,0.0327373
133506.0,0.0317452
133531.0,0.032563
133555.0,0.0356067
133571.0,0.0397286
133587.0,0.0461696
133600.0,0.0549576
133610.0,0.0656992
133620.0,0.0797343
133628.0,0.0969643
133635.0,0.119895
133642.0,0.147894
133647.0,0.181369
133652.0,0.219502
133656.0,0.273061
133660.0,0.328525
133663.0,0.403073
133666.0,0.497704
133669.0,0.609759
133671.0,0.741176
133673.0,0.916176
133675.0,1.14265
133677.0,1.46678
133680.0,1.89606
133682.0,2.46797
133685.0,3.31814
133687.0,4.45761
133692.0,6.48851
133698.0,10.1333
133702.0,11.5982
133706.0,12.0245
133709.0,11.5864
133713.0,10.5526
133718.0,7.76368
133724.0,4.97098
133727.0,3.60863
133730.0,2.70508
133732.0,2.07383
133734.0,1.60291
133737.0,1.24746
133739.0,1.00881
133742.0,0.804425
133744.0,0.648635
133747.0,0.536632
133750.0,0.448482
133754.0,0.366848
133758.0,0.298529
133764.0,0.242871
133769.0,0.200414
133776.0,0.163797
133784.0,0.134931
133793.0,0.108831
133803.0,0.0897
133814.0,0.0735857
133827.0,0.060368
133842.0,0.049377
133857.0,0.0414351
133878.0,0.0337332
133901.0,0.0278844
133924.0,0.0238499
133953.0,0.0204352
133982.0,0.0184096
134014.0,0.0173726
134035.0,0.0171884
134078.0,0.0179091
134122.0,0.0198847
134170.0,0.0233604
134229.0,0.0294591
134301.0,0.0393347
134372.0,0.0519075
134481.0,0.0771409
134581.0,0.1064
134680.0,0.142287
134791.0,0.190621
134923.0,0.261649
135067.0,0.357983
135221.0,0.487292
135376.0,0.651467
135486.0,0.787603
135641.0,1.01344
135854.0,1.40766
135933.0,1.59641
135958.0,1.67684
135997.0,1.74202
136210.0,2.37029
136410.0,3.1232
136598.0,4.04535
136618.0,4.21945
136626.0,4.43652
136632.0,4.87346
136637.0,5.54883
136648.0,7.37828
136653.0,7.77833
136654.0,7.78469
136659.0,7.48322
136672.0,5.49723
136677.0,5.0212
136684.0,4.71356
136694.0,4.63731
136841.0,5.58105
137048.0,7.35295
137277.0,9.8945
137519.0,13.363
137757.0,17.1654
137909.0,18.9499
138007.0,19.4685
138118.0,18.7618
138207.0,17.3724
138311.0,14.5109
138559.0,6.40271
138637.0,4.26207
138696.0,2.93032
138745.0,2.03049
138788.0,1.39579
138822.0,0.977793
138851.0,0.681824
138876.0,0.480684
138897.0,0.337081
138915.0,0.234746
138931.0,0.161798
138945.0,0.111412
138956.0,0.0777054
138965.0,0.0541315
138973.0,0.0377652
138980.0,0.0264765
138985.0,0.0187153
138990.0,0.0137736
138994.0,0.00999243
138998.0,0.00759535
139001.0,0.00587725
139004.0,0.00479877
139006.0,0.00418795
139008.0,0.00394071
139010.0,0.00380871
139012.0,0.0039063
139014.0,0.00422113
139017.0,0.00484554
139020.0,0.00592857
139023.0,0.00763061
139027.0,0.0101327
139031.0,0.0140278
139036.0,0.019806
139043.0,0.0286438
139050.0,0.040826
139059.0,0.0588698
139071.0,0.0867655
139085.0,0.127918
