94-Pu-241(n,total fission) ENDF/B-VII.1
96.9945,13.7744
97.0693,14.885
97.1468,16.877
97.2409,20.4558
97.4451,30.5239
97.538,33.4226
97.746,35.6216
97.8105,38.472
97.8676,43.5456
97.9229,51.7347
97.969,61.8315
98.0213,77.8136
98.0768,100.755
98.158,144.275
98.2505,195.947
98.3007,215.404
98.3563,223.003
98.4034,215.905
98.4535,195.763
98.5371,144.495
98.6192,92.4512
98.67,66.5086
98.7103,50.3963
98.7491,38.4714
98.7857,30.0291
98.8201,24.1168
98.8532,19.9018
98.8863,16.8176
98.9277,14.1645
98.9675,12.5505
99.0138,11.5114
99.0659,11.1613
99.1238,11.5936
99.1818,12.8201
99.2397,14.8815
99.3034,18.2564
99.3642,22.7397
99.4331,29.4592
99.5328,41.838
99.6532,57.2351
99.7339,63.8839
99.7922,65.4522
99.8617,63.5825
99.9544,56.4074
100.115,41.0553
100.218,33.9234
100.321,29.528
100.445,26.8053
100.735,23.7021
100.88,20.7261
101.035,16.9378
101.101,16.2135
101.11,16.2074
101.161,16.7493
101.215,18.6373
101.264,21.7364
101.333,28.0023
101.424,36.9011
101.481,40.3078
101.514,40.8424
101.563,39.5813
101.632,34.4031
101.737,24.6203
