E(MeV)  pendfb7/Fe56:2
0.0228036193  0.839894922
0.0228046267  0.808668896
0.0228074971  0.705798029
0.0228084025  0.676728036
0.022809315  0.651308126
0.0228102346  0.630026966
0.0228111083  0.61376453
0.0228119359  0.601587978
0.0228131774  0.588231862
0.0228144649  0.579083492
0.0228158443  0.572820088
0.0228176835  0.567773594
0.0228209941  0.562848742
0.0228294545  0.5561961
0.0228581465  0.541616677
0.023066964  0.449877144
0.023278488  0.359477496
0.023437131  0.293798406
0.02356052  0.244480573
0.023648655  0.210623251
0.023772044  0.165347366
0.023842552  0.140926522
0.023895433  0.123427505
0.023948314  0.106648047
0.0239923815  0.093339107
0.0240276355  0.08313058
0.0240628895  0.073351855
0.0240981435  0.064000209
0.024124584  0.057322954
0.0241510245  0.050939321
0.024177465  0.04485016
0.0242039055  0.039083057
0.0242259393  0.034524046
0.024247973  0.030203311
0.0242656  0.026926022
0.024283227  0.023812174
0.024300854  0.020862403
0.0243140743  0.018762651
0.0243272945  0.016767191
0.0243405148  0.014874079
0.024353735  0.013085646
0.0243625485  0.01195272
0.0243735654  0.010604629
0.0243845823  0.009333518
0.0243933958  0.008373046
0.0244022093  0.007463553
0.024410472  0.006657479
0.0244181838  0.00594513
0.0244258956  0.005274688
0.0244316795  0.004799508
0.0244374633  0.004347823
0.0244429718  0.003939661
0.0244484802  0.003553201
0.0244539886  0.003188642
0.024459497  0.002846192
0.0244644546  0.00255706
0.0244694122  0.002286124
0.0244731304  0.002094879
0.0244768486  0.001913923
0.0244802914  0.001755696
0.0244841473  0.001589328
0.0244880032  0.001434487
0.0244908951  0.001325923
0.0244937871  0.001223857
0.024496679  0.001128322
0.024499571  0.001039343
0.0245024629  0.000956959
0.0245053549  0.000881198
0.0245082468  0.000812097
0.0245101747  0.000769747
0.0245126535  0.00071968
0.0245151323  0.000674566
0.0245176111  0.000634427
0.0245194702  0.000607598
0.0245213293  0.000583585
0.0245231884  0.000562395
0.0245250475  0.000544035
0.0245269066  0.000528511
0.0245287657  0.000515834
0.0245307625  0.000505405
0.0245330347  0.000497577
0.0245360644  0.000493874
0.0245378203  0.000495269
0.0245395761  0.000499272
0.0245413319  0.00050589
0.0245430877  0.00051513
0.0245448435  0.000526995
0.0245465304  0.00054087
0.0245487338  0.000562652
0.0245509372  0.000588588
0.0245531406  0.000618692
0.0245553439  0.000652982
0.0245575473  0.000691481
0.0245597507  0.000734206
0.0245619541  0.000781175
0.0245640197  0.000829076
0.0245669116  0.000902455
0.0245698036  0.00098324
0.0245726955  0.001071463
0.0245755874  0.001167162
0.0245784793  0.001270377
0.0245813713  0.001381147
0.0245842632  0.001499504
0.0245871551  0.001625491
0.024590047  0.001759153
0.0245939029  0.001949422
0.0245976211  0.002146097
0.0246013393  0.002355803
0.0246050575  0.002578456
0.0246087757  0.002814024
0.0246137333  0.003148442
0.0246178647  0.003445104
0.024621996  0.003758252
0.0246275044  0.004201648
0.0246330128  0.004674861
0.0246390721  0.00523018
0.0246456823  0.00587798
0.0246522924  0.006570079
0.0246589025  0.007306992
0.0246666143  0.008224064
0.0246732244  0.009060201
0.0246798345  0.00994472
0.024688648  0.0111968
0.0246974615  0.012531393
0.024706275  0.013952002
0.0247150885  0.01546008
0.024723902  0.017056971
0.0247327155  0.018744041
0.024741529  0.020522678
0.0247503425  0.022394292
0.024759156  0.024360316
0.0247723763  0.027489599
0.0247855965  0.030839513
0.0247988168  0.034415351
0.024812037  0.038222198
0.0248252573  0.042265612
0.0248384775  0.046550925
0.0248550029  0.052256802
0.0248715282  0.058392345
0.0248869518  0.064457154
0.0249045788  0.07184119
0.0249222058  0.079719523
0.0249398328  0.088107702
0.024953053  0.094736635
0.02497068  0.104055827
0.024988307  0.113930341
0.025005934  0.124377765
0.025023561  0.135416279
0.025041188  0.147064676
0.025058815  0.159342391
0.025076442  0.172269518
0.0251028825  0.1929396
0.025129323  0.215158787
0.0251557635  0.239069985
0.025182204  0.26468523
0.0252086445  0.29216213
0.025235085  0.32151484
0.0252615255  0.352917355
0.025287966  0.386386319
0.0253144065  0.422114021
0.025340847  0.460120017
0.0253672875  0.500617049
0.025393728  0.543628087
0.0254201685  0.589388763
0.025446609  0.637926051
0.0254950833  0.734845943
0.025534744  0.822373743
0.025569998  0.906708423
0.025605252  0.997753961
0.025640506  1.09598735
0.02567576  1.20192327
0.025711014  1.3161174
0.025746268  1.43917007
0.025781522  1.57173024
0.025816776  1.71449986
0.02585203  1.86823873
0.025887284  2.03376968
0.025922538  2.21198441
0.025957792  2.4038498
0.025993046  2.61041488
0.0260283  2.8328184
0.026063554  3.07229725
0.026098808  3.3301956
0.026134062  3.60797488
0.026169316  3.90722476
0.02620457  4.2296751
0.026239824  4.577209
0.026275078  4.95187696
0.026310332  5.35591228
0.026345586  5.79174761
0.02638084  6.26203292
0.026416094  6.76965461
0.026451348  7.31775586
0.026486602  7.90975819
0.026521856  8.54938388
0.02655711  9.24067906
0.026592364  9.98803711
0.026627618  10.7962218
0.026662872  11.6703889
0.026698126  12.6161065
0.02673338  13.6393702
0.026768634  14.7466142
0.026803888  15.9447128
