E(MeV)  pendfb7/Na23:102
0.00763494683  0.001135359
0.00763532545  0.001088619
0.00763570408  0.001047163
0.00763627202  0.000992879
0.00763683995  0.000946048
0.00763740789  0.000905027
0.00763797583  0.00086866
0.00763873308  0.000825992
0.00763949033  0.000788714
0.00764024758  0.000755823
0.00764106162  0.000724521
0.00764193246  0.000694921
0.0076428033  0.000668693
0.00764410955  0.000634566
0.00764541581  0.00060553
0.00764672207  0.000580585
0.00764802832  0.000558972
0.00764933458  0.000540105
0.00765107625  0.000518439
0.00765281793  0.000500008
0.0076545596  0.000484183
0.00765648231  0.000469164
0.00765936638  0.000450435
0.00766225043  0.000435222
0.00766513449  0.000422673
0.00766801855  0.000412173
0.00767186396  0.000400604
0.00767570937  0.000391159
0.00768147748  0.000379918
0.00768751774  0.000370859
0.00769410226  0.000363055
0.00770288162  0.000354955
0.00771605067  0.000346038
0.00773448734  0.00033731
0.00774853433  0.00033226
0.0077766283  0.000324408
0.00781876927  0.000315479
0.0078890042  0.000303655
0.00797328613  0.000291662
0.008137988  0.000271114
0.00827736302  0.000255759
0.00844105208  0.000239247
0.00860474114  0.000224442
0.00876843019  0.000210851
0.00893211925  0.000198557
0.0090958083  0.000187208
0.00925949736  0.000176881
0.00953231245  0.000161381
0.00975056453  0.000150423
0.0099688166  0.000140547
0.0101870687  0.00013162
0.0104053208  0.000123527
0.0106235729  0.000116171
0.0108418249  0.000109466
0.011060077  0.000103342
0.0112783291  9.77328e-05
0.0114965812  9.25865e-05
0.0117936425  8.62591e-05
0.0120300702  8.16673e-05
0.0123453072  7.61512e-05
0.0126605442  7.1214e-05
0.0129757812  6.67812e-05
0.0132910182  6.27891e-05
0.0136062552  5.91836e-05
0.0139214922  5.59183e-05
0.0142367291  5.29541e-05
0.0145519661  5.02566e-05
0.0148672031  4.77966e-05
0.0151824401  4.55487e-05
0.015812914  4.16032e-05
0.016443388  3.82744e-05
0.0167586249  3.6805e-05
0.0172314804  3.48232e-05
0.0177043359  3.30416e-05
0.0181771914  3.14756e-05
0.0186500469  3.00633e-05
0.0191229024  2.88183e-05
0.0199109948  2.70164e-05
0.0205414687  2.58059e-05
0.0211719427  2.47678e-05
0.0217693408  2.39268e-05
0.0223835954  2.31864e-05
0.0230151821  2.25434e-05
0.02366459  2.19958e-05
0.0243243125  2.15482e-05
0.0249547865  2.12175e-05
0.0255852604  2.09745e-05
0.0262157344  2.08159e-05
0.0271614453  2.07326e-05
0.0281071563  2.08382e-05
0.0287376303  2.10198e-05
0.0293681042  2.13005e-05
0.0299985782  2.16955e-05
0.0306290521  2.22306e-05
