E(MeV)  pendfb7/Ni58:2
0.0136263176  3.59804831
0.013626564  3.72670528
0.0136268104  3.87171883
0.0136270568  4.03532458
0.0136272983  4.21610713
0.0136275396  4.41952219
0.013627781  4.64861139
0.0136280224  4.90633478
0.0136282638  5.19596168
0.0136285052  5.52097848
0.0136287466  5.88506833
0.0136289879  6.29190432
0.0136292294  6.74600142
0.0136294707  7.25066761
0.0136296316  7.61749801
0.0136298328  8.11245031
0.013630034  8.64982618
0.0136302352  9.23184588
0.0136304363  9.86028436
0.0136306375  10.5377031
0.0136308386  11.2651578
0.0136310398  12.04485
0.0136312409  12.8771815
0.0136314421  13.7638089
0.0136317439  15.1956253
0.0136320456  16.7485595
0.0136323474  18.4205632
0.0136326491  20.2045477
0.0136330112  22.481151
0.013633494  25.7087758
0.0136349423  35.9171282
0.0136354855  39.5155161
0.0136358074  41.4691665
0.0136362298  43.7551215
0.0136365316  45.1553977
0.0136370344  46.9807375
0.0136373885  47.8420249
0.0136377265  48.3120812
0.013638  48.4324145
0.013638338  48.256764
0.0136385793  47.9141649
0.0136389254  47.1165454
0.0136392874  45.9168783
0.0136395892  44.6543476
0.0136399469  42.8833897
0.013640365  40.4937335
0.013640848  37.4039968
0.0136423292  27.0273103
0.0136428122  23.743132
0.0136431342  21.6610073
0.0136434562  19.6866401
0.0136437782  17.833869
0.0136441002  16.1122981
0.013644382  14.71784
0.0136446235  13.6074476
0.013644865  12.5750711
0.0136451065  11.6196716
0.013645348  10.7394384
0.0136455895  9.93191026
0.013645831  9.19409513
0.0136460725  8.52258484
0.0136462737  8.0110902
0.0136465152  7.45132179
0.0136467567  6.94685319
0.0136469982  6.49360305
0.0136472397  6.08750846
0.0136474812  5.72458451
0.0136477227  5.40097311
0.0136479642  5.11298181
0.0136482057  4.85711314
0.0136484472  4.63008542
0.0136486887  4.428846
0.0136490912  4.14321005
0.0136494132  3.95286536
0.0136497352  3.79084854
0.0136500572  3.65271797
0.0136503792  3.53465816
0.0136507012  3.43341997
0.0136511842  3.30722026
