E(MeV)  pendfb7/Cr52:102
0.00163179421  0.620869153
0.00163194756  0.581966249
0.0016321009  0.547055068
0.00163225424  0.515539557
0.00163240758  0.486941369
0.00163258283  0.45733313
0.00163277999  0.427388673
0.00163297715  0.400492462
0.00163317431  0.37621265
0.00163337146  0.354198963
0.00163356862  0.334159544
0.00163376577  0.315854901
0.00163396293  0.299079715
0.00163419294  0.281214473
0.00163445582  0.262763581
0.00163471869  0.246136871
0.00163498157  0.231093541
0.00163524444  0.217434351
0.00163550732  0.204989328
0.00163577019  0.193616054
0.00163603307  0.183191258
0.00163631785  0.172847318
0.00163662454  0.162684358
0.00163693123  0.1534158
0.00163723791  0.144938208
0.0016375446  0.137162283
0.00163785129  0.130011945
0.00163815798  0.123421123
0.001638618  0.114460604
0.00163901232  0.107554839
0.00163940663  0.101272871
0.00163980094  0.095541005
0.00164019525  0.09029631
0.00164058957  0.085484536
0.00164098388  0.081059165
0.00164137819  0.076979504
0.0016417725  0.073210231
0.00164225444  0.068980104
0.00164273638  0.065119021
0.00164321832  0.061585256
0.00164370025  0.058342943
0.00164418219  0.055360747
0.00164466413  0.052611417
0.00164538704  0.048872208
0.00164593469  0.046309843
0.00164654807  0.043682059
0.00164716144  0.041281438
0.00164777482  0.039082602
0.00164838819  0.037063846
0.00164900157  0.03520611
0.00164992163  0.032685646
0.001650535  0.03116211
0.00165132363  0.029365054
0.00165211225  0.027729737
0.00165290088  0.026237218
0.0016536895  0.024871324
0.00165447813  0.023618049
0.00165526675  0.022465336
0.00165644969  0.020902164
0.00165736975  0.019807234
0.00165842125  0.018668768
0.00165947275  0.01763652
0.00166052425  0.016697913
0.00166157575  0.015841794
0.00166262725  0.015058187
0.00166367875  0.014338886
0.001665256  0.013366143
0.00166648275  0.012686899
0.0016677095  0.012066853
0.00166893625  0.01149955
0.00167077638  0.010734608
0.0016726165  0.010057608
0.00167445663  0.009455871
0.00167627896  0.008923727
0.00167809239  0.008448527
0.00167990581  0.008020754
0.00168171924  0.007634478
0.00168353266  0.007283246
0.00168601149  0.00685292
0.00168855125  0.006463671
0.00169109101  0.00611878
0.00169363077  0.005811704
0.00169617052  0.005537066
0.00169871028  0.005290409
0.00170125003  0.005068021
0.00170505966  0.00477326
0.00170810737  0.004566291
0.00171267894  0.004296236
0.00171725049  0.004063342
0.00172182206  0.003862405
0.00172639362  0.003687706
0.00173096518  0.003534726
0.00173553674  0.003399886
0.00174163215  0.003243385
0.00174772756  0.003109137
0.00175382297  0.002992989
0.00176195019  0.002860536
0.00177007741  0.002748197
0.00177820463  0.002652193
0.00178633185  0.00256931
0.00179445907  0.002497092
0.0018066499  0.002405101
0.00181884072  0.002327333
0.00184322238  0.002205021
0.00185947682  0.002140335
0.00187573125  0.00208538
0.00190011291  0.00201691
0.001940749  0.001926175
0.00197325788  0.001868357
0.00200576675  0.001819123
0.00205453007  0.001756759
0.00215925429  0.001649586
0.00222886  0.001590152
0.00232058182  0.001521381
0.00241593704  0.00145807
0.00254021347  0.001385092
0.00268274815  0.001309823
0.00284989245  0.001231995
0.0030384963  0.00115402
0.00321238692  0.001089963
0.00339424445  0.001029459
0.00357211853  0.000975889
0.0037499926  0.000927066
0.00398328201  0.000869592
0.00434404914  0.0007917
0.00470481627  0.000725284
0.00488519983  0.000695655
0.00513605568  0.000657793
0.00542635054  0.000618455
0.00570660743  0.000584095
0.00606235558  0.00054535
0.00659014715  0.000495881
0.00695172595  0.000466528
0.0073074741  0.000440706
0.00766322225  0.00041749
0.0080189704  0.000396543
0.00837471855  0.000377582
0.0087304667  0.000360366
0.00908621485  0.000344692
0.00957517257  0.000325479
0.0102967068  0.000300849
0.010657474  0.000290033
0.0111961152  0.000275402
0.0117397754  0.000262445
0.012268885  0.00025112
0.0128215705  0.000240682
0.0137109408  0.000226099
0.0143808232  0.000216776
0.0150507056  0.000208635
0.015720588  0.000201532
0.0163904704  0.000195347
0.0170603528  0.000189994
0.0177302352  0.000185425
0.0184001176  0.000181688
0.0189025294  0.000179934
0.019103  0.00018067
0.019169  0.000182025
0.019202  0.000183382
0.01924325  0.000186485
0.01925975  0.000188626
0.019276877  0.000191877
0.0192901925  0.000195535
0.0192990695  0.000198812
0.0193075217  0.000202895
0.0193155489  0.000207971
0.0193215694  0.000212877
0.0193275898  0.000219064
0.0193316034  0.000224143
0.019335617  0.000230228
0.0193396451  0.000237632
0.0193436732  0.000246734
0.0193463585  0.000254013
0.0193490439  0.000262511
0.0193517293  0.00027251
0.0193544147  0.000284388
0.0193564287  0.000294839
0.01935875  0.000308937
0.0193604  0.000320591
0.01936205  0.000333897
0.0193637  0.000349184
0.01936535  0.000366873
0.0193665875  0.000382036
0.019367825  0.000399139
0.0193690625  0.000418539
0.0193703  0.000440683
0.0193712075  0.000458988
0.019372115  0.000479346
0.0193730225  0.000502093
0.01937393  0.000527644
0.0193748375  0.00055652
0.019375745  0.000589396
0.0193764257  0.00061722
0.0193771063  0.000648323
0.01937756  0.000671225
0.0193782407  0.000709554
0.0193787512  0.000742139
0.0193792616  0.000778898
0.0193797721  0.000820994
0.0193801124  0.000852797
0.0193804527  0.000888325
0.0193807931  0.000928411
0.0193811334  0.00097407
0.0193814737  0.001026633
0.0193817289  0.001071569
0.0193819841  0.001122178
0.0193822394  0.001179505
0.0193824946  0.001244715
0.0193827498  0.001319261
0.019383005  0.001404828
0.0193832216  0.001487565
0.0193834382  0.001581062
0.0193836007  0.001659224
0.0193837631  0.001745034
0.0193839255  0.001839366
0.0193840879  0.00194313
0.0193842503  0.002057322
0.0193844127  0.002183033
0.0193845752  0.002321544
0.0193847375  0.002473888
0.0193849  0.002641857
0.0193850624  0.002826695
0.0193852249  0.003030303
0.0193853873  0.00325424
0.0193855497  0.003500584
0.0193857121  0.003771444
0.0193858746  0.004069287
0.0193860369  0.004395981
0.0193861994  0.004754953
0.0193863618  0.005148378
0.0193865165  0.005558127
0.0193866557  0.005958304
0.0193867949  0.006390504
0.0193869341  0.00685696
0.0193870733  0.007360022
0.0193872125  0.007902153
0.0193873518  0.008486367
0.019387491  0.009114523
0.0193876302  0.009789836
0.0193877694  0.010515233
0.0193879086  0.011293756
0.0193880479  0.01212918
0.0193881871  0.013023569
0.0193883263  0.013980874
0.0193884655  0.015004563
0.0193886975  0.016867966
0.0193888832  0.018510982
0.0193890688  0.020297456
0.0193892544  0.022237452
0.01938944  0.024340348
0.0193896412  0.02681503
0.0193898423  0.02950306
0.0193900434  0.032417727
0.0193902444  0.035569384
0.0193904455  0.038972896
0.0193906466  0.042638117
0.0193908478  0.046577925
0.0193910488  0.050796436
0.0193912499  0.055309127
0.019391451  0.060122402
0.0193916882  0.06619596
0.0193918944  0.071831316
0.0193921007  0.077805233
0.0193923069  0.084114672
0.0193926163  0.094217603
0.0193929257  0.105076424
0.019393235  0.116667896
0.019393565  0.129809448
0.0193939775  0.147271801
0.01939439  0.165736971
0.0193949573  0.192386573
0.0193962463  0.254718452
0.0193967825  0.279473417
0.0193972569  0.299806046
