94-Pu-240(n,elastic) ENDF/B-VII.1
286.057,18.5971
286.108,23.4927
286.159,30.1124
286.201,37.4978
286.244,47.2496
286.286,60.2195
286.329,77.5257
286.367,97.9765
286.405,124.346
286.449,164.553
286.494,217.408
286.538,285.633
286.589,385.7
286.647,531.322
286.709,726.671
286.809,1110.1
286.939,1633.58
287.015,1862.91
287.093,1978.06
287.12,1985.06
287.187,1926.26
287.278,1699.27
287.513,827.96
287.586,609.796
287.644,474.678
287.701,369.419
287.761,286.264
287.812,234.264
287.876,186.855
287.941,152.883
288.004,129.591
288.094,106.663
288.202,88.5476
288.334,73.8271
288.493,61.9409
288.673,52.6773
288.912,44.2909
289.198,37.5306
289.548,31.9946
290.024,27.0717
290.66,22.9426
291.296,20.2713
292.355,17.4459
293.754,15.2322
295.619,13.4711
298.289,11.9456
302.236,10.2379
303.302,9.44387
303.835,8.6094
304.144,7.90952
304.167,7.90113
304.244,8.05202
304.301,8.44736
304.372,9.48687
304.429,10.9194
304.491,13.2202
304.562,16.9257
304.664,23.8641
304.814,34.5798
304.905,38.6656
304.97,39.6232
305.056,38.273
305.166,33.2576
305.357,22.7001
305.457,18.6907
305.556,16.0852
305.68,14.2764
305.775,13.5092
305.966,12.6798
306.498,11.6909
307.564,10.8886
310.769,9.86394
314.522,8.84911
316.035,8.15759
316.912,7.39632
317.387,6.58271
317.569,6.28634
317.665,6.41169
317.729,6.76674
317.793,7.46237
317.859,8.65452
317.928,10.4756
318.019,13.7859
318.217,22.1149
318.312,24.5564
318.377,25.0501
318.45,24.4039
318.556,21.6908
318.766,14.5619
318.875,11.8093
318.98,10.0722
319.089,8.91313
319.264,7.77482
319.731,5.58458
319.818,5.41197
319.879,5.57542
319.931,6.07814
319.974,6.90197
320.017,8.25536
320.056,10.0798
320.093,12.4607
320.132,15.9029
320.176,20.9452
320.219,27.4997
320.271,37.5588
320.334,53.0104
320.429,81.6514
320.566,125.043
320.655,144.452
320.729,150.937
320.735,151.019
320.808,146.611
320.885,132.769
321.051,87.5627
321.147,62.7336
321.221,47.7832
321.289,37.5688
321.35,30.964
321.419,25.7284
321.488,22.2853
321.558,20.0347
321.652,18.113
321.81,16.3258
322.062,14.7886
322.554,13.2287
323.374,11.982
324.03,11.4244
326.184,10.4613
332.855,9.15748
335.698,8.47782
336.854,7.82071
337.382,7.0992
337.627,6.72552
337.721,6.89122
337.797,7.40191
337.853,8.13615
337.919,9.50539
337.99,11.7053
338.074,15.3412
338.312,28.1908
338.407,31.3768
338.479,32.1034
338.555,31.2318
338.664,27.6694
338.881,18.5207
338.966,15.8403
339.05,13.917
339.173,12.2143
339.267,11.471
339.456,10.6842
339.946,9.84536
340.889,9.13417
343.454,7.71737
344.234,6.8835
344.703,5.97975
345.003,5.13517
345.093,5.01696
345.153,5.13166
345.2,5.42454
345.249,6.04522
345.291,6.90961
345.332,8.20064
345.373,10.0383
345.414,12.5518
345.455,15.802
345.5,20.4565
345.553,27.4128
345.613,37.4276
345.702,55.8623
345.863,91.5098
345.954,105.621
346.034,110.464
346.041,110.516
346.115,107.326
346.213,94.4722
346.44,51.4029
346.524,38.6822
346.594,30.8427
346.652,25.988
346.718,21.9761
346.8,18.684
346.877,16.777
346.997,15.0318
347.177,13.677
347.453,12.5673
347.922,11.544
348.859,10.5488
350.168,9.8742
354.805,8.72201
358.636,7.71625
360.194,6.95178
360.973,6.3184
361.622,5.49757
362.077,4.60829
362.401,3.695
362.58,3.13987
362.669,2.99462
362.714,3.03409
362.759,3.21328
362.799,3.5616
362.84,4.16812
362.875,4.99221
362.911,6.18174
362.945,7.78761
362.982,10.0992
363.018,13.1893
363.055,17.225
363.095,23.0294
363.14,31.2882
363.189,42.8414
363.245,59.8265
363.31,84.3198
363.414,131.562
363.554,196.152
363.64,224.104
363.72,235.111
363.734,235.321
363.814,227.106
363.895,204.344
364.146,100.929
364.224,75.0354
364.295,56.966
364.357,45.2347
364.418,36.7824
364.479,30.7475
364.54,26.5123
364.621,22.7767
364.71,20.2209
364.848,17.8946
365.055,15.9265
365.356,14.2555
365.843,12.7019
366.492,11.5232
367.665,10.3018
369.782,8.62964
370.462,7.73427
370.87,6.8035
371.093,6.33957
371.184,6.5612
371.249,7.15897
371.303,8.10701
371.353,9.53047
371.404,11.6274
371.454,14.5523
371.504,18.4384
371.566,24.6027
371.644,34.6867
371.874,69.7959
371.967,79.1572
372.05,82.0843
372.138,78.9417
372.23,70.06
372.463,39.6962
372.549,30.878
372.628,24.9426
372.706,20.7936
372.779,18.1867
372.858,16.3534
372.962,14.8732
373.119,13.683
373.464,12.4513
374.05,11.4664
374.929,10.7362
376.858,9.98188
381.565,9.14787
392.065,7.74484
395.986,6.84676
398.445,5.8834
399.81,5.04518
400.869,4.11475
401.637,3.19049
402.234,2.27099
403.041,0.810551
403.18,0.598967
403.267,0.496705
403.327,0.448783
403.378,0.427213
403.395,0.424954
403.429,0.429223
403.481,0.461948
403.528,0.527201
403.57,0.624617
403.611,0.760629
403.651,0.951427
403.69,1.19779
403.728,1.5275
403.767,1.96667
403.801,2.47724
403.839,3.22954
403.878,4.23072
403.916,5.564
403.954,7.33962
403.993,9.70147
404.031,12.8349
404.07,16.9745
404.108,22.4112
404.146,29.4983
404.186,38.8853
404.227,51.545
404.268,67.7785
404.314,91.1938
404.36,121.05
404.411,162.928
404.473,226.608
404.542,317.659
404.636,467.108
404.816,777.467
404.918,906.763
405.01,955.827
405.023,956.844
405.106,927.95
405.191,842.218
405.338,616.959
405.476,399.564
405.563,289.481
405.635,219.079
405.7,170.389
405.76,136.438
405.819,111.004
405.888,89.9727
405.956,75.1838
406.031,63.8926
406.12,54.6568
406.225,47.4052
406.374,40.5597
406.562,34.9174
406.775,30.5733
407.117,26.0118
407.441,23.1585
407.928,20.2972
408.602,17.8076
409.541,15.7181
411.077,13.7932
413.399,12.2336
417.156,10.4585
417.82,9.7755
418.226,9.20436
418.364,9.53371
418.456,10.2737
418.548,11.6298
418.657,14.1078
418.939,22.4717
419.059,24.4241
419.118,24.6468
419.221,23.8891
419.396,20.4536
419.581,16.6009
419.71,14.747
419.848,13.5468
420.032,12.7266
420.549,11.8867
421.581,11.2755
423.991,10.6894
433.158,9.76175
441.816,9.0246
444.22,8.53905
445.201,7.94995
445.356,8.08191
445.568,8.80477
445.884,10.2679
446.011,10.451
446.228,10.083
446.623,9.00546
447.304,8.23301
448.19,7.23749
448.794,6.07068
448.895,6.21762
448.957,6.60174
449.019,7.36344
449.071,8.40704
449.122,9.94101
449.174,12.082
449.226,14.9389
449.288,19.4291
449.362,26.3513
449.457,37.4248
449.658,63.0337
449.762,72.0181
449.857,74.8853
449.956,71.9534
450.06,63.5886
450.309,36.9668
450.404,28.9842
450.492,23.4477
450.581,19.6099
450.682,16.8269
450.771,15.3068
450.889,14.0821
451.126,12.8546
451.623,11.7265
452.451,10.8937
454.256,10.163
459.363,9.46429
464.828,8.84695
465.831,8.31716
466.032,8.51697
466.199,9.16092
466.569,11.2976
466.694,11.5698
466.885,11.3012
467.236,10.1689
467.57,9.64074
468.91,9.16263
471.45,8.6307
472.497,7.92183
472.646,8.01788
472.794,8.59638
472.925,9.70723
473.285,14.2759
473.427,15.0727
473.454,15.0937
473.595,14.5983
473.965,11.5538
474.172,10.5452
474.46,9.959
475.359,9.45222
479.198,8.96147
488.591,8.27153
491.598,7.70693
492.489,7.2239
493.018,6.71066
493.158,6.85441
493.255,7.26911
493.352,8.09415
