92-U-234(n,&gamma;) ENDF/B-VII.1
147.373,1.45392
147.494,1.1908
147.635,0.97673
147.807,0.797025
147.989,0.668656
148.199,0.570139
148.408,0.50573
148.704,0.453262
148.959,0.433965
149.087,0.431879
149.416,0.44893
149.745,0.50132
149.965,0.562101
150.195,0.65835
150.393,0.780155
150.58,0.946696
150.733,1.14253
150.876,1.39975
150.991,1.69047
151.106,2.09947
151.202,2.5865
151.285,3.18403
151.348,3.84175
151.403,4.67463
151.447,5.65805
151.485,6.91949
151.518,8.48033
151.547,10.3936
151.576,13.0403
151.6,16.1083
151.625,20.1557
151.652,25.972
151.679,34.0321
151.707,44.689
151.736,59.3169
151.768,79.6729
151.802,108.555
151.838,147.411
151.879,201.247
151.943,303.529
152.041,470.423
152.101,541.382
152.156,567.137
152.16,567.268
152.215,544.628
152.27,482.507
152.369,318.147
152.437,206.472
152.482,147.352
152.519,107.148
152.552,79.6315
152.583,59.9062
152.609,46.2347
152.637,35.3442
152.664,27.0552
152.692,20.8364
152.717,16.5233
152.746,12.9018
152.775,10.2861
152.803,8.39301
152.836,6.84656
152.871,5.68855
152.915,4.69433
152.964,3.91148
153.026,3.23112
153.107,2.61299
153.203,2.10322
153.307,1.71106
153.422,1.39855
153.546,1.15411
153.694,0.940455
153.867,0.761633
154.053,0.622898
154.273,0.505778
154.531,0.408523
154.794,0.337604
155.115,0.275833
155.458,0.228839
155.916,0.185527
156.362,0.155809
156.946,0.128982
157.651,0.107624
158.502,0.091607
159.475,0.0800668
160.642,0.0728282
161.709,0.0699181
162.388,0.0696166
163.837,0.0723582
165.285,0.0790295
166.734,0.0916947
168.038,0.109501
169.124,0.132928
169.993,0.160691
170.754,0.196038
171.39,0.237525
171.934,0.288481
172.428,0.35416
172.853,0.434579
173.213,0.530404
173.54,0.653255
173.826,0.805011
174.088,1.00193
174.316,1.24868
174.496,1.52051
174.668,1.88145
174.815,2.31471
174.944,2.84269
175.054,3.47038
175.146,4.18871
175.237,5.1817
175.299,6.14227
175.363,7.51838
175.412,9.06545
175.454,10.9489
175.49,13.2736
175.527,16.5437
175.559,20.5217
175.591,25.9532
175.624,33.4808
175.657,43.6817
175.69,57.3173
175.722,75.2245
175.757,99.5565
175.791,130.421
175.833,178.59
175.882,247.977
175.963,387.285
176.054,544.694
176.12,623.548
176.18,649.331
176.234,628.379
176.298,556.158
176.397,385.104
176.478,246.288
176.527,178.349
176.566,133.606
176.604,99.1943
176.637,75.7516
176.67,57.5626
176.703,43.7487
176.736,33.5539
176.769,26.0261
176.801,20.5174
176.834,16.5011
176.87,13.3335
176.911,10.7909
176.956,8.82195
177.01,7.26453
177.071,6.02443
