94-Pu-241(n,&gamma;) ENDF/B-VII.1
43.8759,1.01554
43.9183,0.888952
43.9777,0.77842
44.0626,0.684896
44.1856,0.610719
44.3507,0.562217
44.571,0.542408
44.8386,0.559992
45.1063,0.618399
45.3096,0.698834
45.479,0.803654
45.6145,0.927766
45.745,1.10397
45.8576,1.33317
45.9398,1.57728
46.0076,1.85923
46.0753,2.25902
46.1346,2.76521
46.1837,3.36086
46.2312,4.16746
46.2718,5.11654
46.3159,6.50179
46.3616,8.40865
46.426,11.8487
46.5049,16.2642
46.5483,17.9258
46.589,18.5205
46.6269,18.1174
46.6811,16.1657
46.8055,9.69948
46.858,7.62025
46.9003,6.41343
46.9427,5.57415
46.9766,5.12013
47.0211,4.75995
47.0718,4.61649
47.1301,4.739
47.224,5.38283
47.321,6.07762
47.4069,6.27787
47.5015,6.34449
47.5705,6.73363
47.6327,7.52869
47.7011,8.98503
47.7727,11.235
47.8559,14.8106
48.0097,22.3819
48.0727,24.2543
48.1131,24.6158
48.1635,24.0448
48.2341,21.6001
48.4134,12.5869
48.4843,9.76561
48.5505,7.75027
48.6167,6.23392
48.6939,4.93745
48.7711,4.00058
48.8593,3.22771
48.9586,2.61039
49.072,2.11713
49.1808,1.78415
49.3068,1.51347
49.4634,1.29865
49.5884,1.20407
49.71,1.17863
49.8012,1.21465
49.8968,1.32982
49.9728,1.5132
50.0347,1.75812
50.0933,2.10326
50.152,2.58392
50.3216,4.37375
50.3737,4.6809
50.4033,4.72462
50.4571,4.54171
50.5231,3.94312
50.6526,2.45304
50.7112,1.92719
50.7699,1.53617
50.8307,1.24695
50.9002,1.01852
50.9762,0.848909
51.0522,0.731232
51.1608,0.616823
51.2737,0.537601
51.4127,0.472532
51.5691,0.426155
51.7428,0.400303
51.7863,0.398725
51.8896,0.409255
51.9495,0.43494
51.9944,0.478148
52.0319,0.546175
52.0618,0.63615
52.0909,0.768262
52.1179,0.942681
52.1449,1.17626
52.1805,1.57775
52.2746,2.87065
52.3117,3.21596
52.3438,3.31836
52.3783,3.19672
52.415,2.8383
52.5105,1.5113
52.5411,1.16135
52.5681,0.91828
52.5951,0.734733
52.6212,0.605785
52.6482,0.511768
52.6797,0.438548
52.7157,0.386149
52.7607,0.347341
52.8184,0.318959
52.9336,0.289855
53.0812,0.27182
53.3513,0.258908
53.4447,0.258154
53.6648,0.265896
53.7886,0.283549
53.8505,0.304332
53.8969,0.335251
53.932,0.377774
53.9646,0.444799
53.9908,0.528434
54.0169,0.649938
54.0417,0.80994
54.0692,1.04855
54.1022,1.4245
54.1565,2.20365
54.2081,2.91939
54.2436,3.23005
54.2704,3.30559
54.3044,3.18419
54.3374,2.86276
54.4402,1.40812
54.4708,1.06228
54.4987,0.820301
54.5234,0.660173
54.5485,0.542513
54.5726,0.463059
54.6001,0.401639
54.6276,0.361823
54.6723,0.324598
54.7239,0.303154
54.7927,0.289478
54.9577,0.280339
55.1486,0.286719
55.281,0.299931
55.3841,0.319155
55.4529,0.342396
55.5031,0.37318
55.5427,0.416474
55.5743,0.474447
55.602,0.553227
55.6302,0.67324
55.6563,0.832874
55.6825,1.0504
55.7119,1.37313
55.7494,1.89953
55.8326,3.20829
55.8656,3.55926
55.9003,3.69478
55.9303,3.59361
55.9605,3.30568
56.0101,2.57839
56.0678,1.67759
56.1015,1.25741
56.129,0.995083
56.1566,0.801879
56.1806,0.681034
56.2081,0.585973
56.2381,0.520322
56.268,0.480818
56.3079,0.452451
56.3842,0.434724
56.4172,0.43402
56.5655,0.453547
56.6854,0.489583
56.7933,0.546373
56.8472,0.598566
56.8962,0.685453
56.9288,0.785767
56.9574,0.919707
56.9834,1.09406
57.0116,1.35342
57.0397,1.69679
57.0803,2.33454
57.1625,3.79808
57.1996,4.24332
57.2345,4.38662
57.2683,4.24354
57.3043,3.83413
57.3988,2.35612
57.4362,1.92003
57.4665,1.68304
57.5039,1.52296
57.5413,1.4806
57.5889,1.54973
