94-Pu-239(n,elastic) ENDF/B-VII.1
264.59,11.831
267.004,10.1933
268.133,9.11893
268.751,8.12976
269.117,7.40557
269.173,7.38909
269.316,7.67482
269.416,8.31991
269.507,9.35969
269.645,11.7471
269.809,14.734
269.911,15.6152
269.935,15.6578
270.02,15.3121
270.174,13.3379
270.36,10.7755
270.478,9.70237
270.679,8.64688
271.671,5.64005
272.001,4.47334
272.061,4.3863
272.122,4.47867
272.17,4.78186
272.207,5.23214
272.246,5.99571
272.285,7.15451
272.325,8.82645
272.364,11.1422
272.403,14.2367
272.447,18.7147
272.497,25.4581
272.555,35.375
272.635,52.4318
272.794,89.6203
272.877,103.003
272.946,107.736
272.956,107.863
273.026,104.977
273.114,93.277
273.332,51.2571
273.412,39.1235
273.484,30.895
273.552,25.3617
273.629,20.9949
273.719,17.6863
273.822,15.2821
273.977,13.0077
274.183,11.0297
274.421,9.50593
274.586,8.88156
274.751,8.66814
275.009,9.02614
275.143,9.65024
275.22,10.5284
275.284,11.9108
275.338,13.8055
275.39,16.47
275.442,20.1798
275.498,25.5724
275.569,34.4623
275.697,54.5914
275.804,70.7432
275.892,78.961
275.949,80.7904
276.027,78.6105
