94-Pu-239(n,total fission) ENDF/B-VII.1
50.1701,148.003
50.2101,129.49
50.3002,71.5246
50.3348,53.7746
50.3658,41.9489
50.3938,34.234
50.4227,28.6603
50.4515,24.7972
50.4899,21.3348
50.5409,18.3487
50.6158,15.4068
50.7033,12.9534
50.8208,10.5679
50.9504,8.69681
51.1064,7.10427
51.2703,5.92163
51.4615,4.94892
51.6489,4.29276
51.8362,3.90122
51.9299,3.83878
52.0314,3.9519
52.1016,4.23777
52.1543,4.67553
52.1982,5.32978
52.2333,6.21966
52.262,7.38749
52.2852,8.81449
52.3051,10.5566
52.325,12.9799
52.3449,16.3359
52.3639,20.6764
52.3834,26.6593
52.4029,34.5401
52.4232,45.1402
52.4451,59.6786
52.4724,82.7064
52.5087,120.911
52.5824,205.913
52.6205,235.572
52.6524,244.265
52.6855,235.701
52.7253,205.065
52.8186,102.978
52.8502,74.9034
52.8759,56.9619
52.8993,44.3565
52.9228,34.8214
52.9473,27.49
52.9719,22.254
52.993,18.993
53.0211,15.8796
53.057,13.2344
53.1007,11.1705
53.1554,9.51609
53.2295,8.07844
53.3271,6.88252
53.4442,5.97374
53.5847,5.27735
53.772,4.70354
54.0218,4.28272
54.2621,4.11919
54.3422,4.11077
54.5639,4.22056
54.7856,4.59341
54.9439,5.13418
55.0627,5.81755
55.1577,6.68796
55.227,7.6783
55.2824,8.92071
55.324,10.3866
55.3556,12.0649
55.3873,14.5356
55.415,17.6576
55.4427,22.0111
55.4697,27.7267
55.4981,35.621
55.5369,49.4111
55.6209,84.0342
55.6597,95.1457
55.692,98.5208
55.7281,94.8602
55.7654,83.7221
55.8652,40.4398
55.8948,30.0051
55.9205,22.9141
55.943,18.1843
55.9654,14.6849
55.9879,12.2177
56.0115,10.5095
56.035,9.47623
56.0664,8.82814
56.0899,8.70932
56.1135,8.79787
56.1763,9.63618
56.2619,11.5667
56.3646,14.7782
56.4617,18.8368
56.5616,24.3904
56.6614,31.8447
56.7513,40.7612
56.8412,52.47
56.9354,68.6252
57.0367,91.5358
57.1466,123.651
57.4377,225.23
57.5262,245.824
57.6203,255.002
57.7202,250.272
57.895,218.715
58.1654,161.672
58.3595,132.454
58.5043,117.645
58.6488,108.638
58.7451,106.483
58.8308,108.922
58.8869,114.84
58.9431,127.504
58.99,146.94
59.0274,171.14
59.0649,204.993
59.1099,259.015
59.2088,398.017
59.254,440.208
59.2898,450.398
59.3339,430.775
59.3807,377.51
59.4865,219.612
59.5257,173.172
59.565,138.237
59.6042,113.601
59.639,98.4752
59.6793,86.469
59.7197,78.4062
59.8004,68.742
59.8811,63.2273
60.0425,56.9673
60.3116,51.5777
60.76,46.9001
62.5179,36.9546
62.6972,36.8786
62.7914,38.11
62.8542,40.5589
62.917,45.6804
62.9797,54.5241
63.0963,75.5203
63.1362,79.6201
63.1592,80.3404
63.2068,77.6022
63.2675,67.3225
63.3663,46.428
63.4137,38.9373
63.4557,34.256
63.5004,30.9182
63.5599,28.1992
63.6869,25.2201
64.6413,12.0142
64.8205,9.64937
64.9005,9.20146
64.9475,9.47539
64.9879,10.2885
65.017,11.3631
65.051,13.3178
65.085,16.24
65.119,20.3585
65.1552,26.2946
65.1964,35.197
65.2401,47.162
65.2998,67.5171
65.3656,94.9669
65.4253,126.542
65.4695,157.464
65.5126,197.666
65.5604,258.051
65.6201,357.65
65.7123,524.587
65.7569,577.848
65.7948,594.133
65.8336,579.427
65.8796,525.263
66.0185,274.32
66.0659,206.983
66.1053,164.527
66.1448,132.986
66.1899,107.306
66.235,89.4464
66.2885,74.8092
66.3528,62.9336
66.4267,53.6648
66.5281,45.1003
66.6499,38.2593
66.8089,32.2965
66.9904,27.6862
67.2475,23.2548
67.5519,19.6835
67.9578,16.4201
68.4088,13.9036
68.9726,11.7075
69.6491,9.91719
70.4383,8.60852
71.0697,8.04833
71.4756,7.92598
72.0512,8.18777
72.4034,8.74609
72.7241,9.72993
72.9966,11.2131
73.165,12.6608
73.3333,14.8391
73.4736,17.6554
73.5738,20.7118
73.654,24.387
73.7165,28.7905
73.7686,34.4932
73.8103,41.3801
73.8495,50.7587
73.8856,62.6652
