92-U-238(n,total fission) ENDF/B-VII.1
377.762,2.50452E-6
377.794,1.90307E-6
377.826,1.44139E-6
377.858,1.09084E-6
377.885,8.66084E-7
377.915,6.72552E-7
377.945,5.22925E-7
377.976,4.11248E-7
378.006,3.28285E-7
378.041,2.60386E-7
378.071,2.16602E-7
378.109,1.77435E-7
378.149,1.49405E-7
378.195,1.27587E-7
378.25,1.10619E-7
378.323,9.68165E-8
378.433,8.54487E-8
378.58,7.81552E-8
378.809,7.45844E-8
378.892,7.45291E-8
379.223,7.73777E-8
381.371,1.10672E-7
383.244,1.31481E-7
386.219,1.55253E-7
392.804,1.91863E-7
397.021,2.10427E-7
397.551,2.08935E-7
399.064,2.19701E-7
409.43,2.6184E-7
410.029,2.53239E-7
410.246,2.50036E-7
411.089,2.68637E-7
426.553,3.42673E-7
433.42,3.85789E-7
434.055,3.79223E-7
435.11,3.99911E-7
441.808,4.66991E-7
446.707,5.44351E-7
449.879,6.23165E-7
452.325,7.16397E-7
454.42,8.42201E-7
455.982,9.92111E-7
457.086,1.15519E-6
458.009,1.36068E-6
458.801,1.62776E-6
459.41,1.93479E-6
459.888,2.28305E-6
460.316,2.7385E-6
460.702,3.3434E-6
460.977,3.96651E-6
461.219,4.73492E-6
461.449,5.78992E-6
461.639,7.0756E-6
461.767,8.33693E-6
461.869,9.81823E-6
461.946,1.14911E-5
462.01,1.35886E-5
462.064,1.6214E-5
462.113,1.97186E-5
462.154,2.38368E-5
462.195,2.95034E-5
462.236,3.72986E-5
462.277,4.79761E-5
462.318,6.21187E-5
462.356,8.00491E-5
462.394,1.03463E-4
462.433,1.33674E-4
462.471,1.72156E-4
462.518,2.3229E-4
462.567,3.15054E-4
462.616,4.20691E-4
462.673,5.73625E-4
462.739,7.96267E-4
462.827,0.00116839
463.04,0.00219369
463.145,0.00256396
463.236,0.00269653
463.249,0.00269858
463.335,0.00260515
463.431,0.00230363
463.579,0.00161006
463.703,0.00101785
463.78,7.15011E-4
463.842,5.17357E-4
463.893,3.86851E-4
463.94,2.89918E-4
463.986,2.16302E-4
464.027,1.64233E-4
464.068,1.23511E-4
464.107,9.40137E-5
464.145,7.12338E-5
464.183,5.3861E-5
464.222,4.07646E-5
464.258,3.13936E-5
464.295,2.43572E-5
464.331,1.91051E-5
464.368,1.5199E-5
464.404,1.22967E-5
464.441,1.01353E-5
464.485,8.24346E-6
464.536,6.69846E-6
464.594,5.49068E-6
464.667,4.47546E-6
464.744,3.74249E-6
464.843,3.07233E-6
464.958,2.50809E-6
465.095,2.01753E-6
465.256,1.60037E-6
465.434,1.26657E-6
465.629,1.00625E-6
465.826,8.14421E-7
466.056,6.52816E-7
466.281,5.39306E-7
466.522,4.50426E-7
466.822,3.73197E-7
467.176,3.13036E-7
467.547,2.73573E-7
468.042,2.44485E-7
468.548,2.31973E-7
468.87,2.29944E-7
469.825,2.40367E-7
471.099,2.76017E-7
472.583,3.39892E-7
473.749,4.14531E-7
474.632,4.99489E-7
475.294,5.96524E-7
475.822,7.16916E-7
476.191,8.4425E-7
476.499,1.00181E-6
476.733,1.17935E-6
476.928,1.39931E-6
477.065,1.63621E-6
477.148,1.85669E-6
477.223,2.15496E-6
477.285,2.53661E-6
477.335,2.98686E-6
477.385,3.63619E-6
477.428,4.44136E-6
477.471,5.55736E-6
477.515,7.0967E-6
477.557,9.12745E-6
477.597,1.16857E-5
477.641,1.54072E-5
477.685,2.03167E-5
477.729,2.66836E-5
477.777,3.56243E-5
477.83,4.84231E-5
477.889,6.64651E-5
477.955,9.24074E-5
478.035,1.3098E-4
478.288,2.74718E-4
478.39,3.14722E-4
478.484,3.27719E-4
478.575,3.15523E-4
478.678,2.75387E-4
478.858,1.72519E-4
478.959,1.16529E-4
479.033,8.23534E-5
479.097,5.88734E-5
479.147,4.4294E-5
479.196,3.2677E-5
479.241,2.45182E-5
479.285,1.81482E-5
479.325,1.37005E-5
479.365,1.0257E-5
479.402,7.78307E-6
479.44,5.88428E-6
479.477,4.44321E-6
479.512,3.40533E-6
479.548,2.62146E-6
479.583,2.03352E-6
479.615,1.63315E-6
479.651,1.29716E-6
479.686,1.04759E-6
479.722,8.61964E-7
479.763,7.05695E-7
479.811,5.76475E-7
479.864,4.7798E-7
479.928,3.98317E-7
479.992,3.43691E-7
480.077,2.93103E-7
480.194,2.46622E-7
480.311,2.15371E-7
480.467,1.87834E-7
480.623,1.70553E-7
480.81,1.58391E-7
481.135,1.50037E-7
481.283,1.49482E-7
481.725,1.54135E-7
483.202,1.90208E-7
486.224,2.62559E-7
498.324,4.94849E-7
502.056,5.9115E-7
505.387,7.13875E-7
507.824,8.49931E-7
509.615,9.99296E-7
511.049,1.17952E-6
512.123,1.38032E-6
513.064,1.6378E-6
513.85,1.96059E-6
514.41,2.29647E-6
514.971,2.78594E-6
515.375,3.29995E-6
515.756,3.99879E-6
516.07,4.83661E-6
516.34,5.87818E-6
516.555,7.07549E-6
516.744,8.57798E-6
516.901,1.04142E-5
517.022,1.25407E-5
517.111,1.49037E-5
517.19,1.7994E-5
517.257,2.19386E-5
517.314,2.67791E-5
