26-Fe-56(n,elastic) ENDF/B-VII.1
201539.0,8.68132
201546.0,10.6453
201555.0,13.8043
201570.0,20.2353
201576.0,21.972
201580.0,22.2463
201586.0,21.4715
201595.0,18.6069
201609.0,12.4058
201617.0,9.82727
201623.0,8.33859
201629.0,7.28615
201638.0,6.35424
201648.0,5.64479
201661.0,5.14434
201683.0,4.67314
201723.0,4.32784
201794.0,4.1129
202034.0,3.94375
205525.0,3.39256
205875.0,3.34988
205909.0,3.38081
205921.0,3.56452
205928.0,3.9087
205944.0,4.98085
205950.0,5.12495
205956.0,4.98073
205974.0,3.76475
205982.0,3.49102
205996.0,3.35227
207836.0,3.08456
207918.0,3.14227
207939.0,3.25992
207951.0,3.48803
207959.0,3.84706
207965.0,4.3837
207970.0,5.17375
207975.0,6.26385
207981.0,8.24874
207991.0,11.7542
207997.0,12.9526
208001.0,13.2826
208005.0,12.9793
208010.0,11.7753
208025.0,7.13773
208030.0,5.84909
208035.0,5.02001
208039.0,4.5236
208045.0,4.05338
208052.0,3.78497
208064.0,3.51463
208077.0,3.38694
208122.0,3.21587
208297.0,3.0896
208795.0,2.99517
208832.0,3.03628
208960.0,2.97629
209696.0,2.8791
209715.0,2.88029
210529.0,2.77955
210632.0,2.83741
210648.0,2.92545
210656.0,3.06621
210662.0,3.33456
210667.0,3.71907
210671.0,4.29759
210676.0,5.26973
210682.0,6.95601
210691.0,9.6048
210697.0,10.5989
210700.0,10.756
210705.0,10.3338
210711.0,8.88759
210722.0,5.81355
210727.0,4.63204
