26-Fe-56(n,&gamma;) ENDF/B-VII.1
38416.1,2.37342
38417.9,2.48519
38418.0,2.48588
38419.8,2.38709
38421.5,2.12374
38424.3,1.48782
38426.7,0.939937
38428.1,0.673978
38429.3,0.487357
38430.4,0.355035
38431.4,0.26086
38432.3,0.194821
38433.2,0.148844
38434.0,0.11339
38434.8,0.0864778
38435.6,0.0663123
38436.5,0.0513681
38437.3,0.0403809
38438.2,0.0318364
38439.1,0.0255455
38440.0,0.021065
38441.1,0.0173788
38442.1,0.0147804
38443.6,0.0123835
38445.4,0.0102535
38447.6,0.00849323
38450.5,0.0068599
38453.8,0.0055737
38457.7,0.00449813
38462.0,0.00366534
38466.9,0.00298759
38472.8,0.00241494
38479.6,0.00195111
38486.9,0.00160712
38495.5,0.00132
38505.6,0.00108998
38518.4,8.92993E-4
38531.1,7.57638E-4
38548.1,6.3586E-4
38568.0,5.44848E-4
38590.7,4.74771E-4
38619.0,4.1812E-4
38664.4,3.65584E-4
38721.1,3.26727E-4
38766.4,3.08235E-4
38857.1,2.85442E-4
39038.5,2.6195E-4
39396.0,2.38989E-4
40628.9,1.97188E-4
41984.9,1.68199E-4
43395.2,1.48915E-4
44100.3,1.45216E-4
44642.7,1.49593E-4
44968.2,1.61227E-4
45130.9,1.7387E-4
45273.8,1.93131E-4
45369.6,2.12878E-4
45467.2,2.45214E-4
45548.6,2.8814E-4
45597.4,3.26642E-4
45654.3,3.88782E-4
45701.8,4.66635E-4
45742.5,5.63427E-4
45776.4,6.79343E-4
45806.9,8.2692E-4
45834.0,0.00101409
45857.7,0.00124626
45879.4,0.00154602
45898.4,0.00192067
45915.4,0.00239585
45929.6,0.00295735
45942.1,0.00364446
45954.0,0.00455367
45964.4,0.00566534
45973.8,0.0071016
45981.8,0.00879499
45988.9,0.0108977
45995.0,0.0133845
46000.8,0.0166336
46005.5,0.020319
46009.8,0.0247923
46013.8,0.0306494
46017.5,0.0382609
46020.4,0.0463414
46023.2,0.0576276
46025.3,0.0692677
46027.4,0.0848809
46029.2,0.104712
46030.8,0.128247
46032.1,0.155934
46033.5,0.192934
46034.8,0.240974
46036.2,0.309912
46037.6,0.401283
46039.1,0.522775
46040.8,0.702124
46042.9,0.984372
46048.7,1.91238
46050.6,2.13177
46052.7,2.23758
46053.0,2.23928
46055.1,2.16088
46056.9,1.96771
46060.2,1.46487
46063.5,0.928334
46065.4,0.68318
46067.1,0.508012
46068.6,0.385056
46070.1,0.294008
46071.4,0.2318
46072.9,0.18301
46074.4,0.14488
46075.9,0.1173
46077.6,0.0952071
46079.6,0.0770458
46081.6,0.0636546
46084.1,0.0520879
46086.8,0.042823
46090.2,0.0343739
46093.7,0.0282908
46097.8,0.023051
46102.5,0.0186246
46107.9,0.01499
46113.9,0.0121297
46120.1,0.00992602
46127.2,0.00809222
46135.7,0.00651378
46145.2,0.00524897
46156.1,0.0042135
46167.9,0.00340284
46181.5,0.00274027
46197.4,0.00218961
46213.7,0.0017888
46232.0,0.00146299
46253.7,0.00118742
46279.5,9.56511E-4
46306.6,7.85628E-4
46335.7,6.54556E-4
46373.0,5.35647E-4
46417.8,4.38556E-4
46459.2,3.75372E-4
46525.6,3.08272E-4
46601.8,2.56685E-4
46680.3,2.22812E-4
46758.9,2.00214E-4
46884.5,1.74775E-4
47041.6,1.55626E-4
47230.2,1.41368E-4
47481.5,1.305E-4
47891.4,1.21162E-4
48506.2,1.15891E-4
48711.1,1.15098E-4
49325.9,1.17676E-4
49735.7,1.23542E-4
50043.1,1.30976E-4
50350.5,1.44129E-4
50606.6,1.6364E-4
50831.1,1.89813E-4
51008.0,2.24071E-4
51149.5,2.65354E-4
51273.3,3.19968E-4
51361.7,3.75933E-4
51450.2,4.55377E-4
51529.8,5.5809E-4
51591.7,6.70284E-4
51651.4,8.22217E-4
51704.4,0.00101312
51750.9,0.00124828
51790.7,0.00152924
51823.8,0.00184906
51857.0,0.00228652
51886.8,0.00283593
51912.8,0.00350297
51937.7,0.00439811
51958.7,0.00545954
51976.4,0.00669008
51993.4,0.0083224
52008.4,0.0103229
52022.8,0.0129882
52035.2,0.0162342
52045.8,0.0201117
52055.1,0.0247813
52063.1,0.0302238
52071.0,0.0376902
52078.1,0.0469304
52084.5,0.0586186
52089.9,0.072317
52094.7,0.088777
52098.9,0.108868
52103.0,0.135038
52106.4,0.166092
52109.9,0.209135
52113.0,0.262528
52115.7,0.326241
52118.4,0.411821
52121.1,0.523022
52124.2,0.6934
52128.1,0.96638
52134.0,1.41962
52137.3,1.59351
52140.0,1.63983
52143.0,1.58096
52145.8,1.43177
52154.9,0.754725
52158.1,0.561882
52160.8,0.441642
52163.7,0.343688
52166.4,0.27554
52169.2,0.222911
52172.3,0.180339
52175.9,0.144035
52179.8,0.116349
52184.2,0.093526
52188.9,0.0761483
52194.2,0.061662
52199.8,0.0504038
52206.8,0.0403161
52214.1,0.0326893
52222.9,0.0260367
52232.4,0.0209298
52243.0,0.0168302
52253.6,0.0138357
52267.6,0.010998
52281.5,0.00895181
52297.0,0.00728382
52314.7,0.00589612
52333.5,0.00482011
52355.6,0.00389778
52381.0,0.0031356
52410.8,0.00250079
52445.1,0.00199177
52482.7,0.00159724
52522.5,0.00130004
52568.9,0.00105271
52622.0,8.53319E-4
52675.1,7.1071E-4
52741.4,5.8365E-4
52812.1,4.88412E-4
52900.6,4.06734E-4
52989.0,3.52216E-4
53077.5,3.1813E-4
53157.1,3.03711E-4
53183.6,3.01964E-4
53249.9,3.10861E-4
53289.7,3.28561E-4
53325.1,3.57926E-4
53358.9,4.03656E-4
53387.0,4.69804E-4
53407.1,5.43544E-4
53425.2,6.41839E-4
53440.8,7.63304E-4
53453.6,9.09264E-4
53465.6,0.00110298
53475.8,0.00134022
53484.7,0.00163425
53492.4,0.00198808
53499.6,0.00245842
53505.6,0.00300248
53511.2,0.00370992
53515.6,0.00450428
53520.1,0.00561641
53523.8,0.00693478
53527.0,0.0085432
53529.5,0.0102992
53531.6,0.0125003
53533.3,0.0150737
53534.8,0.0183516
53536.1,0.0223917
53537.2,0.0273391
53538.3,0.0341882
53539.3,0.0421457
53540.2,0.0526755
53541.2,0.0669775
53542.3,0.0875368
53543.3,0.114796
53544.4,0.150354
53545.6,0.199733
53546.8,0.270866
53548.2,0.369369
53549.8,0.512187
53552.1,0.759198
53556.4,1.28534
53558.7,1.48686
53560.8,1.55677
53561.0,1.55736
53562.9,1.50835
53564.8,1.3627
53567.8,1.02886
53571.2,0.609758
53573.1,0.43026
53574.4,0.321043
53575.7,0.239065
53576.9,0.179932
53578.0,0.135988
53579.1,0.103733
53580.1,0.0791656
53581.2,0.0607367
53582.2,0.0470822
53583.2,0.0379196
53584.3,0.0300308
53585.4,0.0243449
53586.6,0.0202184
53587.8,0.0168159
53589.1,0.0143561
53590.8,0.0120073
53593.0,0.00996572
53595.5,0.00825146
53598.7,0.00673748
53602.5,0.00545528
53607.0,0.0044025
53612.1,0.00355823
53618.1,0.00287258
53624.1,0.0023913
53630.5,0.00202142
53636.9,0.00177108
