92-U-234(n,elastic) ENDF/B-VII.1
358.951,312.05
359.039,356.617
359.12,373.237
359.125,373.389
359.201,363.085
359.274,333.504
359.393,258.713
359.535,163.543
359.616,119.477
359.684,90.5395
359.749,70.1003
359.811,55.6654
359.873,45.4085
359.935,38.2717
360.008,32.6866
360.095,28.4464
360.194,25.4466
360.36,22.4764
360.642,19.6362
361.056,17.3025
361.669,15.3984
362.718,13.6501
363.578,12.565
363.88,12.9382
364.221,13.6073
364.246,13.6104
365.225,12.4863
367.884,11.5615
374.338,10.631
385.062,9.5178
386.714,9.018
387.214,8.76217
387.608,9.28162
387.857,9.5086
389.384,7.76162
389.83,6.80463
390.043,6.38281
390.123,6.51616
390.187,6.94803
390.242,7.72005
390.298,9.03161
390.345,10.6767
390.391,12.9524
390.447,16.6797
390.503,21.6471
390.568,29.1128
390.652,41.1651
390.864,75.6587
390.962,86.3642
391.051,89.6946
391.14,86.2989
391.255,74.0534
391.47,43.8994
391.558,34.117
391.638,27.4338
391.718,22.6967
391.792,19.686
391.872,17.5541
391.978,15.8353
392.138,14.4822
392.488,13.1528
393.084,12.1409
393.977,11.4308
396.474,10.6605
408.829,9.39858
410.469,8.9271
411.294,8.26963
411.741,7.68943
411.827,7.83715
411.913,8.33738
412.003,9.4838
412.078,11.1168
412.153,13.4877
412.25,17.6213
412.495,30.1285
412.604,33.5867
412.682,34.325
412.772,33.3008
412.896,29.3307
413.117,20.4006
413.226,17.0479
413.318,15.0881
413.434,13.5
413.562,12.5177
413.734,11.8503
414.25,11.0598
415.309,10.4822
418.938,9.91596
432.766,8.98353
434.556,8.53556
435.475,7.79833
435.622,8.00068
435.728,8.56971
435.833,9.69157
435.95,11.6803
436.236,17.8838
436.359,19.3149
436.403,19.4596
436.498,19.1153
436.65,17.1531
436.892,13.3578
437.048,11.7592
437.203,10.8758
437.437,10.2702
438.138,9.66061
439.955,8.76058
440.25,8.57578
440.427,8.79476
440.634,9.7495
440.953,11.7905
441.095,12.0877
441.314,11.5804
441.698,10.234
442.111,9.72094
443.981,9.21995
450.019,8.36701
452.046,7.75911
453.152,7.04474
453.778,6.22743
454.208,5.356
454.269,5.3215
454.361,5.51484
454.43,6.0156
454.488,6.81702
454.545,8.12005
454.591,9.63559
454.637,11.6701
454.691,14.8171
454.75,19.3737
454.815,25.8387
454.895,35.7349
455.153,73.5655
455.256,83.8279
455.349,87.1838
455.44,84.485
455.545,75.1329
455.812,41.3953
455.908,31.8516
455.981,26.2042
456.055,21.98
456.147,18.3425
456.245,15.9158
456.368,14.1689
456.552,12.8327
456.846,11.7825
457.362,10.8277
458.393,9.87914
461.723,8.06283
462.466,7.3125
463.168,6.07886
463.271,6.18296
463.349,6.60516
463.41,7.30672
463.474,8.50879
463.537,10.3646
463.6,13.0367
463.663,16.6567
463.736,22.0315
463.828,30.7228
464.051,54.0866
464.159,61.6607
464.25,63.9542
464.336,62.2425
464.448,55.2992
464.71,31.6305
464.798,25.4164
464.871,21.6166
464.929,19.5114
465.004,17.9554
465.08,17.5528
465.152,18.0522
465.295,20.6236
465.485,24.2468
465.6,25.0043
465.72,24.2026
465.916,20.5143
466.131,16.2786
466.292,14.2146
466.478,12.923
466.793,11.9546
467.424,11.1231
468.979,10.2493
472.988,9.35428
480.686,8.06614
483.637,7.0947
485.102,6.1925
485.98,5.31395
486.566,4.45291
487.017,3.54192
487.558,2.12871
487.67,1.93391
487.693,1.92207
487.738,1.9457
487.783,2.05865
487.828,2.30385
487.87,2.70672
487.904,3.19438
487.942,3.97666
487.975,4.89325
488.008,6.16051
488.042,7.82169
488.076,9.96711
488.116,13.2212
488.154,17.2924
488.194,22.9012
488.239,30.8695
488.285,41.0403
488.335,55.5335
488.393,76.3636
488.459,106.777
488.54,153.005
488.676,246.592
488.824,349.106
488.928,398.762
489.027,416.852
489.034,416.898
489.117,405.158
489.22,363.231
489.399,250.541
489.531,168.9
489.617,125.872
489.693,96.189
489.761,75.9974
489.825,61.3839
489.896,49.7654
489.966,41.5446
490.051,34.8513
490.149,29.8641
490.262,26.3037
490.442,22.9008
490.713,19.9516
491.096,17.4949
491.659,15.4101
492.493,13.7027
493.507,12.5301
495.4,11.3343
501.358,9.3595
502.483,8.6553
503.133,7.86293
503.265,8.01518
503.353,8.45253
503.428,9.17007
503.52,10.6525
503.612,12.9238
503.72,16.577
503.987,27.303
504.11,30.3064
504.19,30.8929
504.29,30.0272
504.433,26.4209
504.687,18.3798
504.812,15.4898
504.937,13.5862
505.076,12.3512
505.269,11.4808
505.77,10.6147
507.039,9.72331
508.856,8.64538
509.492,7.93835
509.908,7.23881
510.008,7.20596
510.107,7.44804
510.181,7.96445
510.258,8.97423
510.328,10.4584
510.397,12.6266
510.475,16.0074
510.563,21.0452
510.712,31.7656
510.877,43.3772
510.992,48.3358
511.073,49.3723
511.159,48.116
511.273,43.3381
511.563,25.9575
511.681,20.5996
511.786,17.2558
511.892,15.0635
512.012,13.5469
512.211,12.2827
512.508,11.4326
513.104,10.5707
514.351,9.32928
515.014,8.42414
515.162,8.64223
515.266,9.24409
515.369,10.4093
515.476,12.2947
515.63,16.1142
515.831,21.1631
515.957,22.952
516.015,23.2026
516.112,22.8107
516.266,20.5859
516.516,15.8715
516.651,13.9685
516.831,12.4073
517.089,11.365
518.008,9.9059
518.24,9.73185
518.438,10.0342
518.656,11.1405
518.959,13.0204
519.091,13.3201
519.28,13.0118
519.626,11.6339
519.957,10.8755
520.551,10.3997
524.633,9.21362
525.464,8.70267
525.699,9.03452
525.855,9.75543
526.239,12.2821
526.398,12.6479
526.623,12.1297
527.015,10.6114
527.438,9.96181
528.998,9.42325
537.889,8.00869
541.019,7.12392
542.862,6.2
543.867,5.39214
544.588,4.5468
545.119,3.67937
545.562,2.72446
545.887,1.94622
545.976,1.80653
546.02,1.78085
546.079,1.82775
546.124,1.95558
546.168,2.20145
546.212,2.61357
546.252,3.17921
546.289,3.92103
546.325,4.88635
546.365,6.34834
546.404,8.31159
546.443,10.7933
546.483,14.1248
546.527,18.924
546.573,25.3496
546.623,34.4472
546.673,46.0575
546.726,61.4754
546.791,85.134
546.861,116.655
546.963,173.076
547.206,324.982
547.315,373.114
547.421,392.512
547.436,392.739
547.523,381.731
547.63,342.649
547.808,243.653
547.957,160.526
548.047,119.782
548.127,91.519
548.198,72.1957
548.266,58.1457
548.339,46.9261
548.413,38.9568
548.502,32.4498
548.605,27.5961
548.724,24.1371
548.889,21.1674
549.137,18.4735
549.503,16.0493
549.976,14.1026
550.697,12.2307
552.297,9.54505
553.321,7.75538
553.888,6.34727
554.378,4.75709
554.454,4.65016
554.525,4.73786
554.591,5.11338
554.64,5.68833
554.69,6.62638
554.74,8.05663
554.784,9.90519
554.832,12.5737
554.879,16.1564
554.928,21.1077
554.978,27.4929
555.034,36.8042
555.096,49.5737
555.17,69.0265
555.271,101.72
555.517,191.255
555.626,219.497
555.73,230.709
555.749,230.885
555.851,222.079
555.972,193.817
556.258,101.574
556.357,76.0448
