94-Pu-241(n,elastic) ENDF/B-VII.1
271.551,15.7152
271.725,17.6017
271.887,18.1639
272.089,17.4942
272.534,15.329
273.649,12.5205
273.872,12.2998
274.398,13.115
274.854,12.5578
275.321,11.7949
275.414,11.76
275.719,12.3298
276.001,12.9429
276.46,12.4329
276.655,12.7051
276.923,14.1317
277.259,16.2281
277.467,16.5954
278.269,14.9426
279.137,14.2894
279.699,13.4076
279.833,13.3764
280.333,14.0786
280.855,13.4276
281.434,12.6508
281.499,12.6429
281.765,12.6738
282.294,12.2608
283.318,11.0857
283.507,11.0694
283.678,11.3585
283.848,12.1877
284.054,14.0653
284.338,16.933
284.519,17.63
284.535,17.6334
284.752,16.9542
285.056,15.1757
285.224,14.8665
285.434,15.8168
285.67,17.0278
285.719,17.0679
285.905,16.563
286.369,14.4855
286.707,13.6281
286.724,13.6274
286.916,14.1837
287.241,16.3353
287.36,16.5588
287.59,15.9093
287.958,14.5679
288.477,13.8401
289.496,12.9624
290.025,13.3723
290.555,13.835
291.296,14.1234
292.61,12.9335
293.077,12.5662
293.548,12.8569
293.987,12.4747
294.238,13.0198
294.505,13.9188
294.589,14.0027
294.96,13.3704
296.066,10.9443
296.521,9.53615
296.631,9.46783
296.836,9.9444
297.018,10.9387
297.133,12.064
297.257,14.059
297.585,21.3481
297.731,22.9937
297.799,23.1538
297.954,22.3383
298.382,17.4025
298.55,16.1003
298.751,15.4981
298.978,16.1675
299.269,17.4995
299.335,17.5735
299.587,17.0036
299.98,15.6672
300.0,15.6263
300.0,12.9686
350.0,12.958
418.435,12.896
450.0,12.8674
537.989,12.5649
550.0,12.5236
600.0,12.1377
650.0,11.8208
700.0,11.7532
750.0,11.7529
800.0,11.7908
850.0,11.8353
900.0,11.8985
950.0,11.9735
1000.0,12.06
1195.53,12.1135
1250.0,12.1285
1494.41,12.2007
1500.0,12.2023
1750.0,12.1216
2000.0,12.0497
2391.06,11.9548
2500.0,11.9284
2988.82,11.8886
3000.0,11.8877
3500.0,11.8516
4184.35,11.7906
4500.0,11.7624
5379.88,11.6948
5500.0,11.6856
6500.0,11.5895
7500.0,11.5031
8966.47,11.4231
9500.0,11.394
11357.5,11.3212
12250.0,11.2863
14645.2,11.2049
15000.0,11.1929
17932.9,11.0876
20000.0,11.0135
23910.6,10.8972
25000.0,10.8649
29888.2,10.7498
35000.0,10.6295
40200.0,10.5314
40200.0,10.6867
45000.0,10.2341
70000.0,9.24972
92700.0,8.74715
109776.0,8.34029
232000.0,6.57881
336400.0,5.54571
475000.0,4.61735
600000.0,4.08961
1000000.0,3.4918
1200000.0,3.34471
1450000.0,3.5837
1750000.0,3.83425
3100000.0,4.21425
3800000.0,4.4312
4250000.0,4.4535
5270000.0,4.37129
6750000.0,3.19841
7000000.0,3.2114
7500000.0,3.1617
7750000.0,3.1822
8000000.0,3.164
8250000.0,3.176
8875000.0,3.05305
9750000.0,2.9304
1.0E7,2.9313
1.05E7,2.8516
1.175E7,2.8981
1.25E7,2.8797
1.3125E7,2.94985
1.4E7,3.2756
1.4625E7,3.56295
1.5E7,3.6414
1.7E7,3.7251
2.0E7,3.6921
